method,family,seed,split,point_id,projector_error,e1_abs_error,e2_abs_error,trace_abs_error,residual_rms,orthogonality_error,hermiticity_defect_raw,internal_gap,external_gap,trial_rank,route,tail_ratio,latency_ms
kinetic_fourier25,gaussian_honeycomb,42,near_cluster,v3-pilot-gaussian_honeycomb-near-000,0.13922128703791198,0.0625237450003624,0.05940999463200569,0.12193374335765839,0.41921597719192505,5.046709006251149e-08,5.652299819303153e-07,0.004245626419986992,0.23974813148238117,25,not_applicable,nan,29.42283288575709
fourier_shell3,gaussian_honeycomb,42,near_cluster,v3-pilot-gaussian_honeycomb-near-000,0.10301943764032688,0.04526973515748978,0.04460861161351204,0.08987835049629211,0.41232991218566895,6.936608132335209e-08,1.3038514907748322e-06,0.004245626419986992,0.23974813148238117,37,not_applicable,nan,60.553833143785596
wang_xie_adapted,gaussian_honeycomb,42,near_cluster,v3-pilot-gaussian_honeycomb-near-000,0.11963170098675767,0.04115376994013786,0.049940966069698334,0.0910947322845459,0.4078528583049774,2.8351232916890012e-08,9.199004580295878e-07,0.004245626419986992,0.23974813148238117,2,not_applicable,nan,0.7984160911291838
dai_adapted,gaussian_honeycomb,42,near_cluster,v3-pilot-gaussian_honeycomb-near-000,0.5295794048147298,0.15059757232666016,0.18601518869400024,0.3366127610206604,0.3228597939014435,1.0150255358443161e-07,0.00012261730444151908,0.004245626419986992,0.23974813148238117,6,not_applicable,nan,112.27341694757342
long_anchor,gaussian_honeycomb,42,near_cluster,v3-pilot-gaussian_honeycomb-near-000,0.14062789242705068,0.04954984784126282,0.04944256693124771,0.09899241477251053,0.38951677083969116,1.0159837704470931e-07,4.948570335727709e-07,0.004245626419986992,0.23974813148238117,2,not_applicable,nan,0.8946249727159739
sc_narr_shell1,gaussian_honeycomb,42,near_cluster,v3-pilot-gaussian_honeycomb-near-000,0.10934586393178503,0.0410086065530777,0.04618481919169426,0.08719342947006226,0.39536505937576294,1.371692990304041e-07,4.854975372836634e-07,0.004245626419986992,0.23974813148238117,9,not_applicable,nan,37.484209053218365
sc_narr,gaussian_honeycomb,42,near_cluster,v3-pilot-gaussian_honeycomb-near-000,0.10070179387695936,0.03920105844736099,0.04381388798356056,0.08301495015621185,0.3952418267726898,2.9049330496633274e-08,3.451963834777416e-07,0.004245626419986992,0.23974813148238117,21,not_applicable,nan,53.16408397629857
sc_hybrid25,gaussian_honeycomb,42,near_cluster,v3-pilot-gaussian_honeycomb-near-000,0.09721289481819777,0.03717745840549469,0.043244633823633194,0.08042208850383759,0.3956860303878784,8.338202028834729e-08,8.425073474427336e-07,0.004245626419986992,0.23974813148238117,25,not_applicable,nan,60.76970905996859
sr_routed25,gaussian_honeycomb,42,near_cluster,v3-pilot-gaussian_honeycomb-near-000,0.09721289481819777,0.03717745840549469,0.043244633823633194,0.08042208850383759,0.3956860303878784,8.338202028834729e-08,8.425073474427336e-07,0.004245626419986992,0.23974813148238117,25,hybrid,0.9080634713172913,68.4168750885874
fourier_shell2,gaussian_honeycomb,42,near_cluster,v3-pilot-gaussian_honeycomb-near-000,0.18192932398444348,0.07716543227434158,0.07556699216365814,0.15273243188858032,0.40816041827201843,2.128719078786645e-07,1.0018183274951298e-05,0.004245626419986992,0.23974813148238117,19,not_applicable,nan,17.59837521240115
kinetic_fourier25,gaussian_honeycomb,42,near_cluster,v3-pilot-gaussian_honeycomb-near-001,0.08979610249477632,0.029433995485305786,0.02779141440987587,0.057225409895181656,0.2962610721588135,1.212681479678679e-07,3.854257499824598e-07,0.002843535571306781,0.1521728151730666,25,not_applicable,nan,29.323583003133535
fourier_shell3,gaussian_honeycomb,42,near_cluster,v3-pilot-gaussian_honeycomb-near-001,0.06564451818584334,0.02026338130235672,0.02087077870965004,0.04113416001200676,0.2856327295303345,4.931962682697133e-08,1.0079824050990283e-06,0.002843535571306781,0.1521728151730666,37,not_applicable,nan,60.82812510430813
wang_xie_adapted,gaussian_honeycomb,42,near_cluster,v3-pilot-gaussian_honeycomb-near-001,0.07337687202067711,0.01906774938106537,0.01992350071668625,0.03899125009775162,0.27316728234291077,1.1144474454383158e-08,9.710307722343714e-07,0.002843535571306781,0.1521728151730666,2,not_applicable,nan,0.8580000139772892
dai_adapted,gaussian_honeycomb,42,near_cluster,v3-pilot-gaussian_honeycomb-near-001,0.5114612345692278,0.08309590816497803,0.12598773837089539,0.2090836465358734,0.26001930236816406,1.1679898381800058e-07,0.0001357561704935506,0.002843535571306781,0.1521728151730666,6,not_applicable,nan,109.73916598595679
long_anchor,gaussian_honeycomb,42,near_cluster,v3-pilot-gaussian_honeycomb-near-001,0.09978392022107685,0.021042196080088615,0.02454686164855957,0.045589059591293335,0.27257850766181946,1.1154573848879361e-07,3.9206270230351947e-07,0.002843535571306781,0.1521728151730666,2,not_applicable,nan,1.063792034983635
sc_narr_shell1,gaussian_honeycomb,42,near_cluster,v3-pilot-gaussian_honeycomb-near-001,0.06882376895526363,0.018851879984140396,0.019938189536333084,0.03879006952047348,0.27156081795692444,1.6757354637242372e-07,4.018429820007441e-07,0.002843535571306781,0.1521728151730666,9,not_applicable,nan,37.52912487834692
sc_narr,gaussian_honeycomb,42,near_cluster,v3-pilot-gaussian_honeycomb-near-001,0.06365205624634,0.018305344507098198,0.01878250390291214,0.03708785027265549,0.2711217999458313,8.631746895026993e-08,6.192672117322218e-07,0.002843535571306781,0.1521728151730666,21,not_applicable,nan,53.63324983045459
sc_hybrid25,gaussian_honeycomb,42,near_cluster,v3-pilot-gaussian_honeycomb-near-001,0.06099887233880246,0.017611732706427574,0.01811530441045761,0.035727038979530334,0.27085810899734497,1.0978859243948591e-07,9.440051371711888e-07,0.002843535571306781,0.1521728151730666,25,not_applicable,nan,61.269666999578476
sr_routed25,gaussian_honeycomb,42,near_cluster,v3-pilot-gaussian_honeycomb-near-001,0.06099887233880246,0.017611732706427574,0.01811530441045761,0.035727038979530334,0.27085810899734497,1.0978859243948591e-07,9.440051371711888e-07,0.002843535571306781,0.1521728151730666,25,hybrid,0.9081848859786987,69.35833301395178
fourier_shell2,gaussian_honeycomb,42,near_cluster,v3-pilot-gaussian_honeycomb-near-001,0.11923525304698514,0.0346844457089901,0.03851095959544182,0.07319540530443192,0.293989360332489,4.68768122097174e-08,2.855818479474692e-07,0.002843535571306781,0.1521728151730666,19,not_applicable,nan,17.740333219990134
kinetic_fourier21,gaussian_honeycomb,42,near_cluster,v3-pilot-gaussian_honeycomb-near-001,0.10323261507266267,0.03249059244990349,0.032719820737838745,0.06521041691303253,0.29671710729599,1.423636759589897e-07,2.2272810440426838e-07,0.002843535571306781,0.1521728151730666,21,not_applicable,nan,21.241792012006044
fourier_shell3,gaussian_honeycomb,42,near_cluster,v3-pilot-gaussian_honeycomb-near-002,0.018351189027121476,0.002275824546813965,0.002335652709007263,0.004611477255821228,0.11172991991043091,3.411246463080886e-08,7.554741188187108e-08,0.0036312841071918234,0.035012599271445066,37,not_applicable,nan,61.303624883294106
wang_xie_adapted,gaussian_honeycomb,42,near_cluster,v3-pilot-gaussian_honeycomb-near-002,0.08890211207765468,0.007822558283805847,0.008056223392486572,0.01587878167629242,0.14124834537506104,7.19793387116141e-08,6.622965997848951e-08,0.0036312841071918234,0.035012599271445066,2,not_applicable,nan,0.7922500371932983
dai_adapted,gaussian_honeycomb,42,near_cluster,v3-pilot-gaussian_honeycomb-near-002,0.5953416249512713,0.014404058456420898,0.08424907922744751,0.09865313768386841,0.17916640639305115,2.970690959891442e-08,2.8656037102336995e-05,0.0036312841071918234,0.035012599271445066,6,not_applicable,nan,110.02158303745091
long_anchor,gaussian_honeycomb,42,near_cluster,v3-pilot-gaussian_honeycomb-near-002,0.13448459358573034,0.010168403387069702,0.014063209295272827,0.02423161268234253,0.14740429818630219,8.01846093831977e-08,3.264708681172124e-08,0.0036312841071918234,0.035012599271445066,2,not_applicable,nan,0.8909159805625677
