method,family,seed,split,point_id,projector_error,e1_abs_error,e2_abs_error,trace_abs_error,residual_rms,orthogonality_error,hermiticity_defect_raw,internal_gap,external_gap,trial_rank,route,tail_ratio,latency_ms
sc_narr,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-005,0.018228608290300242,0.0013584792613983154,0.0006099194288253784,0.001968398690223694,0.040560513734817505,8.492205483268123e-08,8.632446224510204e-08,0.003290319276318454,0.35742662457088814,21,not_applicable,nan,100.18963180482388
sc_hybrid25,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-005,0.008315700186062374,0.0002266913652420044,0.00027367472648620605,0.0005003660917282104,0.022397805005311966,1.0764399771545641e-07,7.93520200659259e-08,0.003290319276318454,0.35742662457088814,25,not_applicable,nan,133.47403146326542
sr_routed25,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-005,0.007645988924476364,0.00017730891704559326,0.00024093687534332275,0.000418245792388916,0.020133234560489655,1.2566568341476625e-08,2.8587098910293207e-08,0.003290319276318454,0.35742662457088814,25,fourier,3.764117517028945e-14,152.8986431658268
fourier_shell2,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-005,0.03538726199334508,0.002466067671775818,0.003238081932067871,0.005704149603843689,0.06250444799661636,6.592867163313088e-08,8.344453306108335e-08,0.003290319276318454,0.35742662457088814,19,not_applicable,nan,59.72038209438324
kinetic_fourier21,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-005,0.011899106367358563,0.00046440958976745605,0.00046515464782714844,0.0009295642375946045,0.028360074386000633,1.0143376172333518e-07,4.195612035573504e-08,0.003290319276318454,0.35742662457088814,21,not_applicable,nan,70.9136612713337
kinetic_fourier25,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-005,0.007645988924476364,0.00017730891704559326,0.00024093687534332275,0.000418245792388916,0.020133234560489655,1.2566568341476625e-08,2.8587098910293207e-08,0.003290319276318454,0.35742662457088814,25,not_applicable,nan,100.80215334892273
wang_xie_adapted,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-006,0.04877471461383807,0.004485279321670532,0.005319416522979736,0.009804695844650269,0.07954799383878708,8.038121346309879e-08,4.664324748659965e-08,0.0014360302860300656,0.40629712326151723,2,not_applicable,nan,1.0344330221414566
dai_adapted,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-006,0.3527066898861342,0.1087159514427185,0.1644446700811386,0.2731606364250183,0.31850287318229675,7.008854785439667e-08,0.0002643582411110401,0.0014360302860300656,0.40629712326151723,6,not_applicable,nan,127.53289379179478
long_anchor,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-006,0.08165472292352968,0.009174555540084839,0.011768937110900879,0.020943492650985718,0.10095102339982986,3.45894920483758e-08,8.041181587259416e-08,0.0014360302860300656,0.40629712326151723,2,not_applicable,nan,1.27410888671875
sc_narr_shell1,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-006,0.05023361827369282,0.0037449002265930176,0.00676533579826355,0.010510236024856567,0.08333015441894531,1.0924495530417744e-07,5.435126482211672e-08,0.0014360302860300656,0.40629712326151723,9,not_applicable,nan,54.442815482616425
